Kategorie A;13;;;;;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;èas. AM;Krnov;M.J.F.;TdS;VP;C.C.;TdJ;M.A.D.;St.Ves;MRSAC;MRSAC;GPF;Stonava;ML60;VCL;Paskov;Bìlá;TdÈ;Bahenec
Bartkiewicz;Andrzej;Wibatech - Brzec;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0
Bestwina;Michal;;0;41;0;42;23;DNF;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Babiánek;David;Miko Cycles;0;0;0;0;50;40;0;0;0;0;0;0;0;0;0;38;0;0;27;0
Barboøák;Antonín;Trnava;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0
Biel;Szymon;UKS Sokol Kety;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0
BITTNER;Jakub;TJ Unièov;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blaák ;Petr;Hranice;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0
Brokeš;Rostislav;Mapei Cyklo Kaòkovski;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0
BRO ;Matìj;Forman Cinelli;0;0;44;60;0;DNF;50;0;60;0;0;0;0;0;0;44;0;0;0;0
Bubeník;Jiøí;M3B racing team;0;47;23;30;DNF;0;0;0;0;0;0;0;0;42;38;26;0;0;20;42
Bucháèek;Tomáš;Whirpool - Author;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0
Buksa ;Dominik;Èeská spoøitelna Specialized;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BYRTUS;Lukáš;skvelakola.cz;0;0;24;DNF;0;0;0;0;38;0;0;0;0;37;0;25;0;18;0;39
Cáb;Martin;"Cyklokramo Suchdol nad Odrou ""A""";0;38;0;0;19;0;0;0;22;30;0;0;0;0;0;0;40;0;0;0
Cieluch;Marcin;Gedore Cycling Team;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0
Cigler;Jakub;Edgu Elemic Racing;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;32;0
Cudo;Szymon;Marklovice;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0
Èer;Tomáš;Bikestyle.cz;0;0;0;0;0;DNF;0;0;0;55;0;0;0;0;0;0;0;50;0;0
ÈERNİ;Josef;CCC Polkowice;0;0;50;0;0;0;0;0;70;60;0;0;60;0;0;0;0;0;50;0
Diblík;Jan;"Racing Olešná ""A""";0;40;21;31;25;32;0;0;34;0;0;0;0;33;37;21;0;16;0;0
Drienovski;Zbynìk;Rakovec Racing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0
DROD;Tomáš;BBG Prof. MTB;0;0;34;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0
DVORSKİ;DAVID;Bauknecht Author;0;0;55;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0
Duík;Josef;Cube-Lightbike;0;0;0;34;32;24;35;0;28;0;0;0;28;40;48;31;44;34;29;36
Ficek;Michal;Trans Airco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0
Fierla;Ondøej;Team Forman Cinelli;0;58;30;26;0;44;0;0;48;48;0;0;35;48;0;60;0;38;0;60
FRANCZAK;Pawel;Opole;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Franer;Juraj;Fincentrum;0;0;0;0;DNF;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frkal;Jakub;Experiment 23;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0
Furczyk;Maciej;Sokol Kenty;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0
Gábor;Mario;Šilheøovice;0;0;0;19;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gnojek;Michal;;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Grepl;Radim;"Kolík& Hobby ""B""";0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;19;0;0
Gruszka;Patrik;IC Katowice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0
Gwiazda;Kamil;Weltour Bedzim;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0
Hajdyla;Wojciech;Polsko;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hamáèek ;Jaroslav;ACS Drak Vrbno;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hampl;Petr;Favorit  Brno;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;48;0;0;0;0
Heinrich;Lukáš;BIKESTYLE CZ;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0
Helbrant;Pavel;Stevens SUO SHOP;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;25;0;0
HLAVATÍK;Jan;Racing Olešná;0;0;25;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hrachovina;Eduard;CK Petøvald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;36;30;0
Hradil;Jiøí;Force KCK Cykloteam Zlín;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0
