Kategorie A;12;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Slatina;KrnKrit;BohÈas;Krnov;VCFM;TdJ;MAD;GPF;Stonava;ML60;MJV;Petøvald;Kasárny;Paskov
Jureèka;Roman;CK Continental Frenštát p. R.  1;0;0;0;0;38;0;39;32;0;0;0;0;0;0;0;0
Karmelita;Tomáš;Cyklosport HF Opava-Bikestyle.cz;0;31;35;0;0;0;29;0;38;34;0;41;0;0;0;0
Kozák;Pavel;Cyklokramo Suchdol nad Odrou ;0;36;32;0;35;27;40;0;39;37;0;44;44;0;40;39
Krùpa;Zdenìk;CK Continental Frenštát p. R.  2;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0
Kvìtoò;Jiøí;CC La´DRACO;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0
Míra ;Antonín;CK Orlík Orlová;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Neset;Jan;IN-LIFE Cycling Team/Puskinak.cz;46;40;39;0;0;29;0;0;0;40;0;0;0;0;0;0
Novák;Jakub;KILPI RACING TEAM OSTRAVA ;0;0;29;0;40;0;50;33;35;29;54;37;40;0;38;40
Petøík;Zdenìk;Cyklosport HF Opava-Bikestyle.cz;42;0;46;0;48;37;0;55;50;38;60;54;0;46;55;0
Sekanina;Petr;Cyklosport HF Opava-Bikestyle.cz;0;55;36;44;0;28;0;0;0;0;0;36;48;0;0;0
Slavík;Jiøí;FORCE KCK ZLÍN;55;50;55;0;50;39;60;60;0;39;58;56;0;48;50;50
Stanèík;Martin;CK Continental Frenštát p. R.  1;39;46;37;39;42;30;48;38;36;32;47;43;50;42;0;46
Uvíra;Václav;CK Orlík Orlová;0;34;0;0;39;0;46;40;40;36;56;48;42;40;42;0
Zábranskı;Milan;CK Continental Frenštát p. R.  2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;
Kategorie C;12;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Slatina;KrnKrit;BohÈas;Krnov;VCFM;TdJ;MAD;GPF;Stonava;ML60;MJV;Petøvald;Kasárny;Paskov
Babán;Marcel;Cykloservis MB;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0
Beníèek;Tomáš;CK Continental Frenštát p. R.  2;0;0;0;34;22;0;29;31;0;0;0;0;38;0;0;0
