Kategorie A;13;;;;;;;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM;Bahenec;C.C.;TdJ;MAD;StVes;SPAC;MRSAC;MRSAC;Stonava;GPF;MJV;ML60;Paskov;Petøvald;Ustron
Hlawiczka;Martin;Skvìlá kola;28;39;44;0;37;0;49;36;0;39;38;0;53;0;0;39;0;0;0;0;0;0
Heinrich;Lukáš;Bikestyle.cz;37;40;28;0;0;50;0;0;0;0;54;0;0;0;41;0;50;60;46;0;0;0
Èer;Tomáš;Bikestyle.cz;36;0;0;0;0;60;0;0;0;0;70;0;0;0;65;0;60;55;32;0;0;0
Petøík;Zdenìk;Cyklistika pro všechny Krnov;33;0;0;0;0;42;0;55;46;50;0;0;65;0;0;48;0;0;44;0;0;0
Chamrád;Jiøí;;0;0;34;0;0;38;0;50;48;44;52;0;0;0;52;0;0;0;37;0;0;0
Uvíra;Václav;CK Orlík Orlová;0;0;0;0;36;0;0;35;38;36;0;0;0;0;0;46;33;38;33;46;0;0
Holona;Martin;HPEL TEAM;27;36;35;0;46;0;50;33;37;0;0;0;0;0;0;40;0;37;0;0;0;0
Sekanina;Petr;Loko Krnov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;44;50;50;60;46;0
Chocholáè;Jiøí;;0;0;0;0;0;0;0;0;0;0;0;0;0;50;42;0;42;48;48;50;0;0
Ïurica;Jiøí;Team LightBIKE;0;0;0;0;20;0;39;29;0;33;0;37;49;0;0;0;0;26;0;37;0;0
Dohnal;Tomáš;Cyklokramo Suchdol nad Odrou;0;0;39;0;27;0;41;0;35;0;0;38;0;0;0;37;0;29;23;0;0;0
Jureèka;Roman;CK Continental Frenštát p.R.  1;0;0;33;0;39;0;47;30;0;0;0;39;0;0;0;0;0;28;18;0;34;0
Javorek;Petr;Skvìlá kola;0;0;26;0;0;0;0;0;0;0;43;0;0;0;0;0;36;0;38;55;39;0
Grigorescu;Lubor;TJ Ronov p. Radhoštìm;32;0;0;0;23;0;0;0;39;0;40;0;47;0;0;0;37;0;0;0;0;0
Haltof;Aleš;;0;0;0;0;22;0;42;32;0;0;35;0;51;0;0;0;0;0;29;0;0;0
Gruchala;Vojtìch;Lowell Pro Šafrata Team Bohumín;0;0;27;0;21;0;43;34;0;0;0;0;0;29;0;34;0;0;0;0;0;0
Stanìk;Pavel;Cyklosport Pøikryl Stará Ves n. Ondøejnicí;17;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;25;19;0;0;0
Šmíd;Robert;CYCLING BRNO;0;0;0;0;0;0;0;0;0;0;0;0;0;47;37;0;0;0;0;0;0;0
Foltın;Jiøí;"CK Kolík Hobby Bohumín ""B""";0;0;25;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Krhut;Martin;SK Bagbike Rubing;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Holackı;Miroslav;TJ T Tøinec;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kvapulinskı;Martin;Team LightBIKE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;
Kategorie C;13;;;;;;;;;;;;;;;;;;;;;;;
