Kategorie A;13;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ
Matoszko;Filip Grzegorz;;0;0;0;0;0;18;0;0;0;0;0;0
Matula;Luk·ö;FORCE KCK CYKLOTEAM ZLÕN;60;55;0;0;60;44;55;55;50;55;0;44
Michalek;Mariusz;JBG-2 Team;0;0;0;0;0;0;0;0;0;0;0;55
MÌËek;Ond¯ej;;0;0;0;0;0;0;0;0;28;0;0;0
Motyka;Adam;A Bike Club Ostrava;0;13;0;0;0;0;0;0;14;35;36;32
MRUZEK;Michal;Head Bike TJ Opava;15;0;0;0;0;0;0;0;0;0;0;0
Nepraö;Karel;ACK Star· Ves nad Ond¯ejnicÌ;0;42;0;0;0;0;0;0;0;0;0;0
NEVÕDAL;Ond¯ej;BohuÚovice;50;0;0;0;0;0;0;0;0;0;0;0
PAC;Pavel;Polska;31;0;0;0;0;0;0;0;0;0;0;0
Pacan;Mateusz;SK POGON;0;0;0;0;0;32;0;0;0;0;0;0
PAPULA;Luk·ö;EX 23 SARONI FACTORY TEAM;0;22;0;0;0;0;0;0;0;0;0;0
PavlÌk;Petr;"Racing Oleön· ""A""";0;0;0;0;0;0;0;35;0;0;0;0
Pawlak;Grzegorz;Whistle;0;0;0;0;0;0;0;0;55;0;0;0
Pech;David;TuËÚ·ËÌ Tandem;0;0;0;0;31;0;0;0;0;0;0;0
Petruö;Ji¯Ì;Puskinak.cz;0;0;0;0;0;50;0;0;0;0;0;0
PETRUä;LubomÌr;Prestige Team;46;0;0;0;0;0;0;0;0;0;0;0
PREJDA;V·clav;TEAM FORMAN CINELI;30;23;0;0;0;39;0;0;39;0;0;0
Reichel;Sebastian;;0;0;0;0;0;0;0;0;0;0;0;0
Robert;Michal;TROSZOK;0;0;0;0;0;27;0;0;0;0;0;0
SATKE;Tom·ö;BikeCentrum Olomouc;39;0;0;0;0;0;0;0;0;0;0;0
Sch˝bal;Pavel;;0;0;0;0;0;0;0;0;18;0;0;0
Stola¯Ìk;Tom·ö;Lowell Pro äafrata Team BohumÌn;0;39;0;0;0;0;0;0;30;0;39;0
Stosz;Patryk;Profesional cycling Team;0;0;0;0;0;60;0;0;0;0;0;0
STRAKOä;Jaroslav;BikeSport Mohelnice;21;0;0;0;0;0;0;0;0;0;0;0
STRATIL;Vladislav;CK Brno;25;0;0;0;0;0;0;0;0;0;0;0
Szcepanowski;Bartosz;UCI CONTINENTAL TEAMS;0;0;0;0;0;37;0;0;0;0;0;0
Szlauer;David;"SkvÏl· kola-TJ Té T¯inec  ""B""";0;0;0;0;0;0;0;0;0;0;0;0
Szymanski;Patryk;TC Chrobry Saroni Glogow;0;0;0;0;0;29;0;0;0;0;0;0
äkoda;Kristi·n;CK Continental Frenöt·t p.R.  1;0;0;0;0;0;30;0;40;26;40;44;38
ämedek;Josef;SILVINI CYCLING TEAM;0;0;0;0;30;0;0;0;0;0;0;0
äustr;VilÈm;ACK Star· Ves nad Ond¯ejnicÌ;0;0;0;0;0;0;0;0;0;0;0;0
Tomek;Josef;Denzel CLIFF Wien;0;0;0;0;0;22;0;0;0;0;0;0
Turek;Kamil;SK POGON;0;0;0;0;0;36;0;0;0;0;0;0
URB¡äEK;Jan;EX 23 SARONI FACTORY TEAM;34;36;0;0;0;46;0;0;0;0;0;0
VL»EK;Pavel;IN-LIFE CYCLIG TEAM;22;19;0;0;0;14;0;0;0;0;0;0
Wala;Jan;Ex 23 Saroni Factory Team;0;0;0;0;37;35;0;0;0;0;0;0
Widzyk;Jan;;0;0;0;0;0;0;0;0;20;0;0;0
Willmann;Filip;XxX ;23;0;0;0;0;0;0;0;21;0;0;0
Z·ruba;Petr;ACK Star· Ves nad Ond¯ejnicÌ;0;0;0;0;0;0;0;50;48;0;50;0
éeravÌk;VojtÏch;TJ Sigma Hranice;0;33;0;0;0;25;0;0;0;0;0;0
;;;;;;;;;;;;;;
Kategorie B;13;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ
Androsz;Michal;"CK KolÌk Hobby BohumÌn ""B""";0;0;0;0;33;0;17;0;0;0;0;0
Bab·n;Marcel;Cykloservis MB;0;0;0;0;48;0;0;42;0;0;0;0
BARTOSZEK;Damian;Legia Corattec;50;0;0;0;0;0;0;0;0;0;0;0
Bollo;Roman;YOGI Racing Ostrava 2;24;35;0;0;32;33;0;0;0;44;40;0
BRYCHTA;Jan;SvÏt cyklistiky.cz;0;36;0;0;0;0;0;0;0;0;0;0
BUCH¡»EK;Tom·ö;Whirpool Author Cycling Team;60;0;0;0;0;0;0;0;0;0;0;0
»ER;Tom·ö;BikeStyle.cz;55;0;0;0;0;0;0;0;50;0;0;0
Dohnal;Tom·ö;Cyklokramo Suchdol nad Odrou;0;0;0;0;34;0;0;0;0;0;0;0
œurica;Ji¯Ì;;0;0;0;0;29;0;0;28;0;0;0;0
Folt˝n;Ji¯Ì;"CK KolÌk Hobby BohumÌn ""A""";32;40;0;25;46;34;14;38;38;38;30;31
Fryc;Bohdan;A Bike Club Ostrava;0;38;0;0;31;32;0;33;29;37;33;32
GalatÌk;Roman;CK Continental Frenöt·t p.R.  1;38;37;0;0;55;60;0;55;60;48;50;48
Gruchala;VojtÏch;TK Ostrava;0;0;0;0;0;0;0;32;0;35;32;0
Grigorescu;Lubor;Roûnov;0;0;0;0;0;40;0;0;0;0;34;33
Grygiel;Pavel;;0;0;0;0;27;0;0;0;0;0;0;0
Harabiö;Radim;SK ValaöskÈho kr·lovstvÌ;0;0;0;0;0;0;0;0;0;0;0;0
Heinrich;Luk·ö;BIKESTYLE.CZ;30;0;0;0;0;38;0;0;39;0;38;0
Hendrych;David;BIKESTYLE.CZ;0;0;0;0;0;0;0;0;0;0;0;0
Hlawiczka;Martin;"SkvÏl· kola-TJ Té T¯inec ""A""";0;44;0;0;38;0;0;39;37;39;37;36
Holacky;Miroslav;äumperk;0;0;0;0;0;0;0;0;0;0;0;27
Holona;Martin;HPEL TEAM;0;0;0;0;40;0;0;36;0;0;0;0
HudeËek;Petr;Forman Cinnelli;0;0;0;0;0;0;0;0;0;0;60;0
Chamr·d;Ji¯Ì;;0;0;0;46;0;0;37;40;0;55;0;55
Chochol·Ë;Ji¯Ì;CK Continental Frenöt·t p.R.  1;0;55;0;0;0;0;0;0;46;0;48;0
Javorek;Petr;www.masazprozeny.cz;46;48;0;38;0;50;33;0;36;0;46;44
Jir·sek;Josef;SK MAXBIKE Ostrava;0;0;0;0;0;0;0;0;0;0;0;0
JureËka;Roman;CK Continental Frenöt·t p.R.  1;29;0;0;9;37;0;0;37;0;36;29;28
KAJNAR;Tom·ö;Nutrend Specialized;40;0;0;0;0;0;0;0;0;0;0;0
KARMELITA;Tom·ö;Loko Krnov;28;0;0;0;0;0;0;0;0;0;0;0
KECHRT ;Tom·ö;Pells Team;36;0;0;0;0;0;0;0;0;0;0;0
Kitlowski;Piotr;Jafisport bike team;0;0;0;0;0;0;0;29;0;0;0;26
KoneËn˝;Luk·ö;CK Vlastibor KoneËn˝;0;0;0;0;0;0;0;0;0;40;0;0
KoÚa¯Ìk;Milan;2K-BIKE CLUB Odry;0;0;0;0;0;0;0;0;0;0;0;0
KOPECK›;Tom·ö;ZHOR Team;26;0;0;0;0;0;0;0;0;0;0;0
Kornak;Szymon;;0;0;0;0;0;0;0;0;31;0;0;0
Kub·nek;Martin;Lowell Pro äafrata Team BohumÌn;0;0;0;0;0;0;0;0;0;0;0;0
Kvapulinsk˝;Martin;A Bike Club Ostrava;27;39;0;29;44;36;25;46;0;46;55;50
KvÏtoÚ;Ji¯Ì;;0;0;0;0;0;0;0;0;27;0;0;0
Kwiecieny;Adam;;0;0;0;0;0;0;0;0;0;0;31;0
Maksant;Jind¯ich;IN LINE cycling Team;0;0;0;0;0;35;0;0;0;0;0;0
MalÌk;Roman;Racing Oleön·;0;0;0;0;39;0;0;27;0;0;0;0
Mat·k;Andrej;Cykloklub Kysuce A;0;0;0;0;35;0;0;35;0;34;0;29
Martin·k;Tom·ö;SKVK;0;0;0;0;0;0;0;0;34;0;0;0
Mitrenga;Petr;"SkvÏl· kola-TJ Té T¯inec ""A""";35;46;0;35;36;42;35;44;44;42;44;39
MoravËÌk;Petr;Continental;0;0;0;0;0;0;0;0;0;0;26;0
Motyka;Patrik;A Bike Club Ostrava;0;0;0;0;28;44;0;34;26;0;35;37
Novotn˝;Ji¯Ì;Team Forman Cinelli;20;34;0;0;0;0;0;0;0;0;0;0
Nowok;Michal;Jafisport bike team;0;0;0;0;0;0;0;31;0;0;0;0
Pet¯Ìk;ZdenÏk;Cyklistika pro vöechny Krnov;39;0;0;0;0;0;0;0;0;0;39;0
Pietrzyk;Vratislav;"SkvÏl· kola-TJ Té T¯inec ""A""";0;0;0;0;50;0;0;48;0;0;0;34
