Kategorie A;13;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ
AdamËÌk;Miroslav;Cyklokramo Suchdol nad Odrou;0;39;0;0;0;0;0;0;42;44;44;0
Andrzejewski;Andrzej;;0;0;0;0;0;0;0;31;21;0;0;0
BaËÌk;Pavel;2K-BIKE CLUB Odry;0;0;0;0;0;0;0;0;0;0;0;0
Baier;Jan;Lowell Pro äafrata Team BohumÌn;0;50;0;0;0;0;0;0;28;0;0;0
Baran;Petr;CYCLING BRNO BAGBIKE;48;44;0;44;44;0;0;0;0;0;0;0
Beneö;Petr;YOGI Racing Ostrava 1;40;0;0;0;48;38;0;50;37;46;39;0
»ejka;Petr;Cyklo team KOLARNA;30;0;0;0;0;0;0;0;0;0;0;0
»UBO“;PETER;CK TURZOVKA;0;0;0;0;0;0;0;0;0;31;0;0
DaÚhel;MojmÌr;Cyklistika pro vöechny Krnov;35;40;0;40;40;48;0;46;46;40;37;46
Frkal;Miroslav;Novatop Lapierre;0;0;0;0;0;37;0;0;0;0;0;0
Grussmann;V·clav;CK Continental Frenöt·t p.R.  1;0;30;0;0;0;0;0;0;0;0;0;0
HAM¡»EK;Jaroslav;Buldoci RapotÌn;19;0;0;0;0;0;0;0;0;0;0;0
HlavatÌk;Ladislav;"Racing Oleön· ""A""";0;0;0;0;36;0;0;34;0;29;25;0
Holeö;Ji¯Ì;"CK KolÌk Hobby BohumÌn ""A""";27;0;0;0;0;0;23;0;31;0;28;0
HrazdÌlek;Alois;Renokov team;0;27;0;0;28;0;0;28;22;27;24;34
HUDE»EK;Duöan;JeseniËtÌ Orli;28;0;0;0;0;0;0;0;0;0;0;0
Chmura;Petr;Team Forman Cinelli;0;29;0;0;0;33;30;33;32;36;34;40
Jakl;Ji¯Ì;Triatlon klub Ostrava;21;32;0;30;31;30;11;32;30;0;27;0
JANKOWSKI;ALEKSANDER;DAR-BUD TEAM;0;0;0;0;26;0;0;30;0;0;23;0
Javora;Stanislav;Valach Bike Team;0;0;0;0;0;0;0;0;0;0;36;0
Kapala;Zygmund;;0;0;0;0;0;0;0;0;18;0;0;0
Kaszuba;Miroslav;"CK KolÌk Hobby BohumÌn ""B""";0;0;0;0;42;39;0;48;0;50;40;0
KOLEN»IK;MIROSLAV;CK TURZOVKA;0;0;0;0;0;0;0;0;0;28;0;0
KoneËn˝;Pavel;"CK KolÌk Hobby BohumÌn ""A""";34;36;0;0;33;36;42;0;44;39;35;0
Kont˙r;Milan;SK ValaöskÈho kr·lovstvÌ;24;31;0;0;34;31;0;35;38;30;29;0
Kop¯iva;Miroslav;CK Continental Frenöt·t p.R.  2;22;0;0;0;0;0;0;0;0;0;0;0
KOWALCZYK;Mariusz;Gliwice;31;0;0;0;0;34;0;0;0;0;0;0
Krawczyk;Andrzej;;26;0;0;0;0;0;0;0;25;0;0;0
KrchÚ·k;Pavel;ACK Star· Ves nad Ond¯ejnicÌ;0;0;0;24;0;0;0;0;0;0;0;0
KRZYéANOVSKI;Zbigniew;CCC Stochova;0;0;0;0;0;0;0;0;40;0;0;0
Krupa ;LubomÌr;LUBICI;0;0;0;0;0;0;0;36;0;37;0;38
Lach;Alan;"Racing Oleön· ""A""";0;0;0;0;0;0;0;0;0;0;38;0
Lawicki;Dariusz;CZERNICA MASTERS;0;0;0;0;0;0;0;0;0;0;0;0
LETAVAY;äTEFAN;CK TURZOVKA;0;0;0;0;0;0;0;0;0;32;0;39
LUKEä;Stanislav;CykloRacing Olomouc;39;0;0;0;0;0;0;0;0;0;0;0
Luköa;Vlastimil;;0;0;0;0;0;0;0;0;19;0;0;0
MÕ»EK; Old¯ich;TJ Sigma Hranice;37;37;0;0;0;42;0;0;48;55;55;50
Motyka;Tom·ö;A Bike Club Ostrava;0;38;0;23;35;35;26;0;33;33;0;42
Mrozek;Ji¯Ì;"CK KolÌk Hobby BohumÌn ""B""";0;0;0;0;25;0;0;0;27;0;0;0
M¸ck;Arnoöt;2K-BIKE CLUB Odry;46;46;0;0;0;46;0;42;50;48;60;55
Niemczyk;Jan;;0;0;0;0;27;0;0;24;;0;0;35
PavlÌk;Petr;"Racing Oleön· ""B""";0;0;0;0;30;0;0;29;20;0;22;0
Pelc;Ladislav;CK Continental Frenöt·t p.R.  1;50;60;0;0;60;60;44;55;55;38;48;0
PETRUä;LubomÌr;ACS Drak Vrbno;33;0;0;0;0;0;0;0;0;0;0;0
Praski;Henryk;"CK KolÌk Hobby BohumÌn ""B""";0;0;0;0;38;0;0;40;0;35;33;37
RumiÒski;Stanislaw;;32;0;0;0;0;0;0;0;35;0;0;0
Rzyzanowski;Zbigniew;Unipol;0;0;0;0;0;0;0;0;0;0;32;0
Satinsk˝;Alexandr;YOGI Racing Ostrava 1;44;34;0;0;37;40;0;39;0;42;46;44
SEDL¡»EK; Ji¯Ì;SK Ji¯Ì team Ostrava;0;35;0;0;0;0;0;0;0;0;0;0
SEKERKA; Karel;CYCLO RACING;38;42;0;0;55;0;0;0;0;0;0;0
Schichel;Tom·ö;YOGI Racing Ostrava 2;0;0;0;0;24;0;0;25;0;0;0;0
Schneider;Rudolf;CK Continental Frenöt·t p.R.  2;0;33;0;0;32;0;0;37;26;34;30;0
sikora;miroslav;TJ TZ TRINEC;0;0;0;0;0;0;0;0;0;60;0;60
Sikora;Petr;Lowell Pro äafrata Team BohumÌn;0;0;0;0;0;0;0;0;0;0;0;0
Sk¯eËek;Robert;CYCLING BRNO BAGBIKE;60;55;0;50;39;44;48;0;0;0;50;48
Slez·k;Josef;FORCE KCK CYKLOTEAM ZLÕN;0;0;0;0;50;55;50;60;0;0;42;0
Strnadel;LudÏk;»eladn·;0;0;0;0;0;0;0;0;29;0;31;0
äimoÚ·k;Marek;ACK Star· Ves nad Ond¯ejnicÌ;0;0;0;0;0;0;0;0;0;0;0;0
äitavanc;Ji¯Ì;cyklomat.cz;0;0;0;0;0;0;0;0;39;0;0;0
äkarka;Ji¯Ì;"CK KolÌk Hobby BohumÌn ""B""";0;0;0;0;29;0;0;27;0;0;0;0
äKR¡»EK; Karel;VYSOT SPORT KunÌn;0;28;0;0;0;0;0;0;0;0;0;0
änajder;Roman;Racing Oleön· ÑAì;0;0;0;0;0;0;0;44;60;0;0;0
ävantner;Bohuslav;Racing Oleön· ÑBì;0;0;0;0;0;0;0;38;0;0;0;0
äVEC;Milan;Siln˝ Team UniËov;36;0;0;0;0;0;0;0;0;0;0;0
TROCHTA;Libor;CykloRacing Olomouc;55;0;0;0;0;0;0;0;0;0;0;0
VYCHODIL;Luk·ö;In Life Cycling Team;29;0;0;0;0;0;0;0;0;0;0;0
Vyoral;LubomÌr;"CK KolÌk Hobby BohumÌn ""B""";20;0;0;0;0;29;0;26;23;0;21;0
WAWRZYNKIEWICZ;Edward;DSR Z·brez;25;0;0;0;0;50;0;0;34;0;0;0
Wenzel;Roman;MAX CURSOS OSTRAVA;0;0;0;0;0;0;0;0;36;0;0;0
WÌdenka;Aleö;KolÌk Kobby B;0;0;0;0;46;0;0;0;0;0;0;0
WIEDERMANN;ZdenÏk;Siln˝ Team UniËov;23;0;0;0;0;0;0;0;0;0;0;0
Z·ruba;Pavel;ämelci H·jov;0;0;0;0;0;0;0;0;0;0;26;0
Zmuda;Jan;LOKO Krnov;0;0;0;0;0;32;0;0;0;0;0;0
ZvonÌËek;RadomÌr;FORCE KCK CYKLOTEAM ZLÕN;42;48;0;0;0;0;0;0;24;0;0;0
;;;;;;;;;;;;;;
Kategorie E;13;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ
Bako;Rudolf;"SkvÏl· kola-TJ Té T¯inec ""B""";0;0;0;0;0;0;0;0;0;0;0;0
B·rta;Miroslav;SK Bagbike Rubing;0;0;0;0;0;0;0;44;48;0;0;0
Bluszcz;Stefan;Lowell Pro äafrata Team BohumÌn;0;0;0;39;39;40;0;0;37;0;0;0
BuËek;Michal;Racing Oleön· ÑAì;0;0;0;0;0;0;0;60;0;60;60;60
DanÏËek;Pavel;Cyklistika pro vöechny Krnov;55;55;0;60;48;50;60;0;50;55;55;55
Dubn˝;Pavel;Cyklokramo Suchdol nad Odrou;44;48;0;0;38;0;0;36;34;42;37;42
Ertel;Ji¯Ì;Novatop Lapierre;0;0;0;0;42;0;0;38;38;0;0;0
Gieracz;Marek;Unipol;0;0;0;0;0;0;0;0;35;0;0;0
Glogar;Jan;YOGI Racing Ostrava 2;0;0;0;0;31;0;0;0;0;0;0;0
Homola;Petr;YOGI Racing Ostrava 2;0;0;0;0;32;37;32;32;29;37;0;0
Kotas;Pavel;PJR;0;0;0;0;0;0;0;0;36;0;0;0
KOUÿIL;Ji¯Ì;Fitko JesenÌk;48;0;0;0;0;0;0;0;0;0;0;0
Kreöoviecz;ZbygnÏv;Polsko;0;0;0;0;0;60;0;0;0;0;0;0
KubÌk;Josef;"CK KolÌk Hobby BohumÌn ""B""";0;0;0;0;0;0;0;0;0;0;0;0
Leszczynski;Xaverery;KolÌk Kobby C;0;0;0;0;55;0;0;55;0;0;40;0
Masn˝;Milan;"Racing Oleön· ""A""";0;0;0;0;0;0;0;0;0;0;46;0
Misina;Andrzej;ACK Star· Ves nad Ond¯ejnicÌ;0;0;0;0;36;0;0;39;0;0;38;0
Mottl;BohumÌr;"CK KolÌk Hobby BohumÌn ""A""";0;0;0;0;44;44;0;42;42;46;42;0
Mrakvia;ZdenÏk;"SkvÏl· kola-TJ Té T¯inec ""B""";0;0;0;34;30;0;0;0;0;0;0;38
Mrn˘ötÌk;Josef;Cyklotech-Pro a Mrn˘ötÌk;0;44;0;0;35;38;0;34;30;0;34;0
Muöka;Josef;CK Feso Pet¯vald;0;0;0;0;0;0;0;0;40;0;0;0
Pavelek;Frantiöek;CK Continental Frenöt·t p.R.  2;0;0;0;0;0;0;0;0;0;0;0;0
PavlÌk;Ji¯Ì;CK Continental Frenöt·t p.R.  2;50;0;0;0;60;48;0;50;44;0;0;0
PÏg¯imek;Milan;CK OrlÌk Orlov·;0;0;0;0;33;0;0;37;32;40;36;44
PekarËÌk;Ji¯Ì;Cyklokramo Suchdol nad Odrou;0;46;0;0;40;39;0;31;33;0;35;0
Pilecki;Stanislav;Cykloservis MB;0;0;0;0;0;0;0;35;0;39;0;40
Rechtenberg;Karel;Fr˝dlant n. O.;0;0;0;0;0;0;0;30;0;0;0;0
Savka;Miroslav;CK OrlÌk Orlov·;0;0;0;0;34;0;0;33;31;38;33;39
Skotnica;Josef;SKP Opava;0;42;0;0;0;0;0;0;0;0;0;0
äpok;Stanislav;KPL Ostravice Lys· hora;0;0;0;0;0;0;0;0;28;0;0;0
äut·k;Peter;CK TURZOVKA;0;0;0;0;0;0;0;0;0;36;0;0
Teönar;Tom·ö;YOGI Racing Ostrava 1;46;50;0;50;46;42;55;46;46;48;44;48
Toman;Vladislav;Cyklokramo Suchdol nad Odrou;0;0;0;0;0;0;0;0;55;0;50;0
Vesel˝;Petr;"SkvÏl· kola-TJ Té T¯inec  ""B""";0;0;0;40;37;0;0;40;39;44;39;46
Zdanowicz;Marek;;0;0;0;48;50;46;48;48;0;0;0;0
Zem·nek;LubomÌr;2K-BIKE CLUB Odry;60;60;0;0;0;55;0;0;60;50;48;50
;;;;;;;;;;;;;;
Kategorie é;13;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ
Bartoöov·;Denisa;"CK KolÌk Hobby BohumÌn ""A""";0;0;0;60;60;44;55;0;55;60;0;0
BEDNAÿÕKOV¡; Jana;AMENITY-EXTREM SPORT;0;48;0;0;0;55;0;0;60;0;0;0
»upov·;Jana;NOVATOP GHOST;0;0;0;0;0;0;0;0;0;0;0;0
»urov·;Kate¯ina;;0;0;0;0;0;0;0;44;0;0;0;0
DanÏËkov·;Romana;Cyklistika pro vöechny Krnov;0;0;0;0;50;0;0;0;50;55;42;50
Dohnalov·;Jaroslava;Cyklistika pro vöechny Krnov;44;0;0;0;0;48;0;55;0;0;50;55
Ejsmont;Joanna;UNIPOL Czestochowa;0;0;0;0;0;0;0;0;0;48;0;0
Fidlerov·;Iva;YOGI Racing Ostrava 1;0;0;0;0;0;0;0;0;0;0;0;0
GARGELOV¡;Tereza;TJ UniËov;60;0;0;0;0;0;0;0;0;0;0;0
H¡JKOV¡; MarkÈta;SKP DUHA FORT Lanökroun;0;60;0;0;0;0;0;0;0;0;0;0
HAº¡KOV¡; Nela;ACS DRAK VR Brno;0;36;0;0;0;0;0;0;0;0;0;0
Halmov·;Eva;CK OrlÌk Orlov·;0;0;0;0;0;0;0;39;36;40;39;40
Hapalov·;Eva;Roûnov;0;0;0;0;0;39;0;0;0;0;0;0
HusiËkov·;ZdeÚka;;0;0;0;0;0;0;0;0;0;0;0;44
Chmurov·;Jana;Team Forman Cinelli;46;35;0;0;44;50;39;48;46;50;48;48
Jaklov·;Ivana;Lowell Pro äafrata Team BohumÌn;48;33;0;44;55;46;38;60;42;0;46;0
Javorov·;Lucie;Valach Bajk Team;0;0;0;0;0;0;0;0;0;0;60;0
JURKOV¡; SoÚa;Bike 2000;50;55;0;0;0;0;0;0;0;0;0;0
Krzyûankov·;Lenka;"SkvÏl· kola-TJ Té T¯inec ""A""";0;37;0;0;0;0;0;0;35;0;0;39
KU»EROV¡; Monika;VRV TEAM;0;46;0;0;0;0;0;0;0;0;0;0
Lantov·;Romana;Cyklistika pro vöechny Krnov;0;39;0;0;48;38;42;0;37;46;0;0
Lantov·;Romana;Cyklistika pro vöechny Krnov;0;0;0;0;40;0;31;40;38;44;0;0
LÌbenkov·;Sylva;CK Feso Pet¯vald;0;0;0;0;0;37;0;0;39;42;0;0
MIGDOL;Katarzyna;Author Pszczyna;0;50;0;0;0;0;0;0;0;0;0;0
MOäTKOV¡; Kate¯ina;TK Uhersk˝ Brod;0;42;0;0;0;0;0;0;48;0;0;0
MOäTKOV¡;Jitka;Inter Bratislava;0;0;0;0;0;0;0;0;44;0;0;0
MUDÿÕKOV¡; Kate¯ina;CK Feso Pet¯vald;55;40;0;0;46;60;0;0;0;0;0;60
NAVR¡TILOV¡; Kate¯ina;TJ Sigma Hranice;0;38;0;0;0;42;0;0;0;0;40;0
OBRZUD; Sylwia;MTB Silesia rybnik;0;34;0;0;0;0;0;0;0;0;0;0
OLIVOV¡;Alexandra;Bike 2000;0;44;0;0;0;0;0;50;0;0;0;0
PargaËov·;Marcela;Cyklokramo Suchdol nad Odrou;0;32;0;0;0;0;0;46;0;0;0;0
PREJDOV¡;Marie;SK Ji¯Ì Team Ostrava;39;0;0;0;0;0;0;0;0;0;0;0
Proch·zkov·;Kamila;Sintesi Prima Donna;0;0;0;0;0;0;0;0;0;0;55;0
PYTLOV¡; MarkÈta;SK Bag Bike;0;31;0;0;42;36;0;42;40;0;0;46
Sladkovsk·;Petra;CK Frenöt·t p. R.;0;0;0;0;0;0;0;0;0;0;44;0
Sikorov·;Michaela;TJ TZ TRINEC;0;0;0;0;0;0;0;0;0;0;0;42
Ublansk·;Kamila;CK OrlÌk Orlov·;0;0;0;0;0;0;0;0;0;0;0;0
VICENCOV¡;Petra;CykloRacing Olomouc;40;0;0;0;0;0;0;0;0;0;0;0
VY»ÕTALOV¡;Jana;ACS Drak Vrbno;42;0;0;0;0;40;0;0;0;0;0;0
;;;;;;;;;;;;;;
Kategorie M;13;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ
B¡RTEK;David;VRV TEAM;0;44;0;0;0;0;0;0;0;0;0;0
BIALONCZYK;Kamil;Author Pszczyna;0;48;0;0;0;0;0;0;0;0;0;0
Haladus;Szymon;Cyklistika pro vöechny Krnov;44;0;0;55;60;46;46;55;60;50;40;40
Haöek;Daniel;SK Bag Bike;0;0;0;0;48;38;0;0;0;0;0;0
JARMA;Ctirad;CykloTeam Kol·rna;50;0;0;0;0;0;0;0;0;0;55;0
KMÕNEK;VojtÏch;Mapei Cyklo KaÚkovsk˝;55;0;0;0;0;0;0;0;0;0;0;0
Konderla;Luboö;"SkvÏl· kola-TJ Té T¯inec ""A""";0;0;0;60;0;44;0;0;0;0;0;0
KREJ»Õ;Marian;ACK Star· Ves nad Ond¯ejnicÌ;0;46;0;0;0;0;0;0;0;0;60;60
KRESTA;Jan;SK Ji¯Ì team Ostrava;0;40;0;0;0;48;0;0;0;0;0;0
Krupa;Luboö;LubÌci;0;0;0;0;0;0;0;0;0;48;39;39
LAäTŸVKA;David;Mapei Cyklo KaÚkovsk˝;46;0;0;0;0;0;0;0;0;0;0;0
MACEK; Michal;VRV TEAM;0;42;0;0;0;0;0;0;0;0;0;0
MÌËek;Old¯ich;TJ Sigma Hranice;0;0;0;0;0;40;0;0;0;0;46;48
MiköanÌk;VladimÌr;SK Ji¯Ì team Ostrava;0;0;0;0;0;42;0;0;0;0;0;0
PaliËka;Hynek;ACK Star· ves N.O.;0;0;0;0;0;0;0;0;0;0;50;55
PARMA; Dominik;TJ UniËov;0;39;0;0;0;0;0;0;0;0;0;0
POKORN›; Petr;ACK Star· Ves nad Ond¯ejnicÌ;0;55;0;0;0;55;0;0;0;0;48;0
Pol·Ëik;Martin;CK Continental Frenöt·t p.R.  1;40;36;0;50;55;39;55;50;55;60;42;44
ROH¡»EK;Jakub;Mapei Cyklo KaÚkovsk˝;48;0;0;0;0;0;0;0;0;0;0;0
RUMAN; Jakub;ACK Star· Ves nad Ond¯ejnicÌ;0;60;0;0;0;0;0;0;0;0;0;0
Schichel;Jakub;YOGI Racing Ostrava 1;42;37;0;0;50;0;0;60;50;55;44;46
Stanovsky;David;;0;0;0;0;0;0;0;0;0;0;37;0
äKOPEC;Filip;ACS Drak Vrbno;39;0;0;0;0;0;0;0;0;0;0;0
Svoboda;Tom·ö;Mosty u Jablunkova;0;0;0;0;0;0;0;0;0;0;0;42
V¡VRA; Marek;ACK Star· Ves nad Ond¯ejnicÌ;0;50;0;0;0;50;0;0;0;0;0;0
VlËek;Jan;TJ Sigma Hranice;0;0;0;0;0;37;0;0;0;0;38;38
Trachtulec;Petr;CK Feso Pet¯vald;60;0;0;0;0;60;0;0;0;0;0;50
ZEç¡K; Michael;Bike 2000;0;38;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;
Druûstva;23;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ
2K-BIKE CLUB Odry;;;110;114;0;0;0;101;0;42;98;88;98,4;95
A Bike Club Ostrava;;;64;115;0;104;130;115;93;128;103;140;137;132
ACK Star· Ves nad Ond¯ejnicÌ;;;0;69;60;24;28,8;0;0;81,2;48;0;80,4;0
CK Continental Frenöt·t p.R.  1;;;148;175;83;136;161;180;136;160;175;156;158;130
CK Continental Frenöt·t p.R.  2;;;62;33;0;0;119;38,4;0;113;61,2;34;30;0
CK Feso Pet¯vald;;;127;92;0;84;62;137;0;81;115;134;125;143
"CK KolÌk Hobby BohumÌn ""A""";;;101;109;63;106;134;106,4;109;110,6;126;125;105,6;68
"CK KolÌk Hobby BohumÌn ""B""";;;20;0;52;0;113;68;17;115;85;85;94;37
CK OrlÌk Orlov·;;;0;0;0;0;53,6;0;0;87,2;79,2;94,4;86,4;98,4
CYCLING BRNO BAGBIKE;;;108;154;0;94;159;92;98;148;50;0;50;94
Cyklistika pro vöechny Krnov;;;118,2;115,2;56;132;128;126,4;118,4;134;134;128;123;134
Cyklokramo Suchdol nad Odrou;;;35,2;114,2;0;0;96,4;31,2;0;90,4;113,2;77,6;113,6;33,6
Cykloservis MB;;;27;58;31;0;126;0;0;114;45;115,2;84;109
FORCE KCK CYKLOTEAM ZLÕN;;;150;155;78;141;158;149;160;175;147;160;139;150
Lowell Pro äafrata Team BohumÌn;;;38,4;124;62;66,4;75,2;68,8;30,4;48;93,2;0;110,8;0
"Racing Oleön· ""A""";;;0;0;0;0;80;0;0;127;89;77;122,8;48
Racing Oleön· ÑBì;;;0;0;0;0;68;0;0;95;20;0;58;35
SK MAXBIKE Ostrava;;;31;50;0;0;67;71;31;69;46;39;44;39
SK ValaöskÈho kr·lovstvÌ;;;24;77;0;0;84;86;0;90;38;30;29;0
"SkvÏl· kola-TJ Té T¯inec ""A""";;;61;129;67;114;124;110,2;104;152;117;136;145;127
"SkvÏl· kola-TJ Té T¯inec ""B""";;;0;0;0;59,2;53,6;0;0;32;31,2;35,2;31,2;100,2
Team Forman Cinelli;;;111,8;109;0;0;79,2;113;61,2;71,4;114,8;136;132,4;128,4
YOGI Racing Ostrava 1;;;126;103,6;0;40;148;111,6;44;146;121;136;120,2;120,4
YOGI Racing Ostrava 2;;;24;66;0;0;96,6;100,6;25,6;92,6;57,2;73,6;78;0
