Kategorie A;13;;;;;;;;;;;;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ;MAD;StVes;SPAC;MRSAC;MRSAC;GPF;Stonava;ML60;MJV;Paskov;BÏl·
Aro;Anton;11 F 78. Espoo. Finland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;43;0;0;0;0;0;0
PAPULA;Luk·ö;EX 23 SARONI FACTORY TEAM;0;22;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;42;0;0
JosefÌk;Martin;SYMBIO + Cycling;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;42;27;0;0;0;0;0
Matoszko;Filip Grzegorz;;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;33
Wala;Jan;Ex 23 Saroni Factory Team;0;0;0;0;37;35;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0
Fiolka;Marcin;POLSKA;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;28
Krhut;Martin;CYCLING BRNO BAGBIKE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;46;0;0
Las·k;MatÏj;MAX CURSOS OSTRAVA;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
Michalek;Mariusz;JBG-2 Team;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;35
Kubica;Piotr;;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;15
BOR¡K;Martin;IN-LIFE CYCLIG TEAM;32;34;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ämedek;Josef;SILVINI CYCLING TEAM;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0
Klezla;Martin;2K-BIKE CLUB Odry;16;20;0;0;0;11;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0
Turek;Kamil;SK POGON;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0
BESTWINA;Michal;;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0
Folt˝n;Jakub;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0
KOéUäNÕK;Adam;SKC Tufo ProstÏjov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;29
Gruszczyk;Pawel;LKUKS PSZCZYNA;0;0;0;0;0;26;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buch·Ëek;Tom·ö;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0
Mal·tek ;VojtÏch;CK OrlÌk Orlov·;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;29;0
Janoöek;Tom·ö;ACK Star· Ves nad Ond¯ejnicÌ;0;27;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0
Neset;Jan;In Life Cycling Team;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;31;0;0;0;0;0
Tomek;Josef;Denzel CLIFF Wien;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0
»ER;Tom·ö;Bikestyle.cz;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0
Stosz;Patryk;Profesional cycling Team;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ätep·nik;Ji¯Ì;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;37;0
Z·ruba;Pavel;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;32;0;0;0
Koci·n;Tom·ö;LHOTA TEAM;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;20
Halejak;Wojciech;JBG Mysznik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55
Pawlak;Grzegorz;Whistle;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Matoga;Tomasz;TKKF UKLEJNA MYåLENICE;0;0;0;0;0;0;0;0;25;0;0;0;25;0;0;0;0;0;0;0;0;0;0
NEVÕDAL;Ond¯ej;BohuÚovice;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hampl;Petr;TJ Favorit Brno;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0
Kozak;M.J.;JBG-2 Team;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0
PETRUä;LubomÌr;Prestige Team;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KOBLIHA ;Ond¯ej;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0
Bellan ;Juraj;Firefly;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0
Willmann;Filip;XxX ;23;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Braulinski; Michal;JBG-2 Team;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0
Nepraö;Karel;ACK Star· Ves nad Ond¯ejnicÌ;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jasynsky;Martin;Kupnakolo;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0
KUCEWICZ;Michal;Legia Corattec;17;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jegier;Mateusz;Fiolka Trans Magenta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39
DOMAGALA;Patryk;Legia Corattec;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Holec;Jakub;Scott Kokot Team;0;16;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KOTRLA;Michal;Specialized PLANET BIKES TEAM;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MiËuda;Simon;Firefly;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0
Szcepanowski;Bartosz;UCI CONTINENTAL TEAMS;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buksa;Dominik;Future cycling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36
Ganc;Marek;Firefly;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0
KÿEäç¡K;Filip;Cycling Brno;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Grego¯ica;Rene;Erholung Triatlon Team;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kucieba;Karol;Klub Kolarski;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nov·k;Patrik;Quint bike;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0
H·jek;Adam;Quintbike;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0
Heczko;Filip;"SkvÏl· kola-TJ Té T¯inec ""B""";0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0
KUBALA;Petr;CK Feso Pet¯vald;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H¯ivÚack˝;Marek;Quint bike;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0
Pacan;Mateusz;SK POGON;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRCOM;Mateusz;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0
Pech;David;TuËÚ·ËÌ Tandem;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Grepl;Radim;"CK KolÌk Hobby BohumÌn ""B""";0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
