"Kategorie A";14;;;;;;;;;;;;;;;;;;;;;;;;
"p¯ÌjmenÌ";"jmÈno";"klub";"Trispol";"MJF";"KrnKrit";"Ston»D";"Krnov";"TdS";"ArcMit";"Bahenec";"C.C.";"TdJ";"MAD";"SPAC";"MRSAC";"MRSAC";"GPF";"Stonava";"ML60";"MJV";"StVes";"Paskov";"BÏl·";"VCL";"Td»"
"Musiol";"Jakub";"YOGI Racing Ostrava 2";0;0;28;0;0;0;0;0;0;33;0;34;0;0;13;0;0;0;28;0;0;0;0
"KOéUäNÕK";"Adam";"Forman Cinneli";0;0;42;0;0;27;0;0;0;0;0;"DNF";0;0;58;0;0;0;0;0;0;0;0
"ZUBAR ";"Maksym";"Weltour Bedzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;34;40;0;0
"SEDL¡»EK";"Marek";"SK Ji¯Ì team Ostrava";0;38;29;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0
"HORBACHUK ";"Ihor";"Weltour Bedzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;32;39;0;0
"MAREK";"Jaroslav";"Ck Continental Frenöt·t p. R.  1";0;0;"DNF";0;0;29;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0
"GWIAZDA ";"Kamil";"Weltour Bedzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;38;31;0;0
"Heinrich";"Luk·ö";"Bikestyle.Cz";0;0;0;0;0;0;0;0;0;0;46;0;0;0;31;0;0;0;0;0;24;0;0
"Heczko";"Filip";"SkvÏl· kola-TJ Té T¯inec""A""";25;0;0;0;0;0;0;38;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0
"KASPEREK ";"Michal";"TC Chrobry Glogow";0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;46
"SZCZEPANOWSKI";"Bartosz";"Experiment 23";0;0;55;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C·b";"Martin";"Cyklokramo Suchdol nad Odrou ""A""";0;0;0;0;0;0;33;0;36;0;29;0;0;0;"DNF";0;0;0;0;0;0;0;0
"KORYCZAN";"Adam";"Author Pszczyna";39;32;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bestwina";"Michal";;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;44;0
"GRABIS ";"Mateusz";"Weltour Bedzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;46;0;0
"Pac";"Pawel";"Fiolka Trens";0;0;44;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0
"BROKEä ";"Rostislav";"Team Forman Cinelli";0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;21;0;0
"BUKSA ";"Dominik";"»esk· spo¯itelna Specialized";0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0
"G·bor";"Mario";"A Bike Club Ostrava";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;24;"DNF";30;0
"KLOS";"Viktor";"Bagbike";0;28;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;30;0;0
"SvrËina";"Karel";"KC Hlinsko";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;36;0;0
"URB¡äEK ";"Jan";"Experiment 23";0;0;0;0;26;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0
"Szymanski";"Patrik";"Grupa Kolarska Gliwice Bike";0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0
"SATKE ";"Tom·ö";"bikecentrum olomouc";0;0;0;0;36;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0
"FOLTYN ";"Jakub";"K.S. Pogon Mostostal Pulawy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0
"Luköa";"David";;0;0;0;0;0;0;0;0;0;0;29;0;0;0;12;0;0;0;0;0;0;29;0
"SVÃNT› ";"Radek";"Bikomatic";0;0;0;0;35;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"éeravÌk";"VojtÏch";;0;0;0;0;0;0;0;0;0;0;40;0;0;0;28;0;0;0;0;0;0;0;0
"Mal·tek";"VojtÏch";"CK Feso Pet¯vald";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;38;0;0;0;0;0
